/mnt/home/20236065/anaconda3/lib/python3.10/site-packages/glfw/__init__.py:916: GLFWError: (65544) b'X11: The DISPLAY environment variable is missing'
  warnings.warn(message, GLFWError)
===== HYPERPARAMTERS =====
Domain and task: walker - run
Discount factor gamma: 0.99
Target update weight tau: 0.005
Learning rate: 0.0001
Number of episodes: 10000
Random seed: 42
Temperature alpha: automatic
Replay buffer size: 1000000
Replay buffer batch size: 100
Save intermediate: True
Episode: 0, steps: 1000, return: 26.33
Test in episode: 0, average return: 26.33
Episode: 1, steps: 2000, return: 32.25
Episode: 2, steps: 3000, return: 30.4
Episode: 3, steps: 4000, return: 43.08
Episode: 4, steps: 5000, return: 30.15
Episode: 5, steps: 6000, return: 24.93
Episode: 6, steps: 7000, return: 24.34
Episode: 7, steps: 8000, return: 28.86
Episode: 8, steps: 9000, return: 24.58
Episode: 9, steps: 10000, return: 23.11
Episode: 10, steps: 11000, return: 25.13
Episode: 11, steps: 12000, return: 25.38
Episode: 12, steps: 13000, return: 24.55
Episode: 13, steps: 14000, return: 24.16
Episode: 14, steps: 15000, return: 22.77
Episode: 15, steps: 16000, return: 20.12
Episode: 16, steps: 17000, return: 23.64
Episode: 17, steps: 18000, return: 33.23
Episode: 18, steps: 19000, return: 37.44
Episode: 19, steps: 20000, return: 26.42
Episode: 20, steps: 21000, return: 32.66
Episode: 21, steps: 22000, return: 27.02
Episode: 22, steps: 23000, return: 31.15
Episode: 23, steps: 24000, return: 31.46
Episode: 24, steps: 25000, return: 34.93
Episode: 25, steps: 26000, return: 27.73
Episode: 26, steps: 27000, return: 25.15
Episode: 27, steps: 28000, return: 24.76
Episode: 28, steps: 29000, return: 24.27
Episode: 29, steps: 30000, return: 26.59
Episode: 30, steps: 31000, return: 23.0
Episode: 31, steps: 32000, return: 24.43
Episode: 32, steps: 33000, return: 25.32
Episode: 33, steps: 34000, return: 32.2
Episode: 34, steps: 35000, return: 29.12
Episode: 35, steps: 36000, return: 28.38
Episode: 36, steps: 37000, return: 26.54
Episode: 37, steps: 38000, return: 24.99
Episode: 38, steps: 39000, return: 21.74
Episode: 39, steps: 40000, return: 25.2
Episode: 40, steps: 41000, return: 31.72
Episode: 41, steps: 42000, return: 28.99
Episode: 42, steps: 43000, return: 29.44
Episode: 43, steps: 44000, return: 23.09
Episode: 44, steps: 45000, return: 20.97
Episode: 45, steps: 46000, return: 31.08
Episode: 46, steps: 47000, return: 25.96
Episode: 47, steps: 48000, return: 35.66
Episode: 48, steps: 49000, return: 40.18
Episode: 49, steps: 50000, return: 33.78
Episode: 50, steps: 51000, return: 37.21
Episode: 51, steps: 52000, return: 33.13
Episode: 52, steps: 53000, return: 49.32
Episode: 53, steps: 54000, return: 27.84
Episode: 54, steps: 55000, return: 40.73
Episode: 55, steps: 56000, return: 34.22
Episode: 56, steps: 57000, return: 45.6
Episode: 57, steps: 58000, return: 35.36
Episode: 58, steps: 59000, return: 49.97
Episode: 59, steps: 60000, return: 47.22
Episode: 60, steps: 61000, return: 32.08
Episode: 61, steps: 62000, return: 44.5
Episode: 62, steps: 63000, return: 34.06
Episode: 63, steps: 64000, return: 29.58
Episode: 64, steps: 65000, return: 33.33
Episode: 65, steps: 66000, return: 32.43
Episode: 66, steps: 67000, return: 30.68
Episode: 67, steps: 68000, return: 31.4
Episode: 68, steps: 69000, return: 39.89
Episode: 69, steps: 70000, return: 44.65
Episode: 70, steps: 71000, return: 38.96
Episode: 71, steps: 72000, return: 40.0
Episode: 72, steps: 73000, return: 53.49
Episode: 73, steps: 74000, return: 41.9
Episode: 74, steps: 75000, return: 31.66
Episode: 75, steps: 76000, return: 34.58
Episode: 76, steps: 77000, return: 36.54
Episode: 77, steps: 78000, return: 43.75
Episode: 78, steps: 79000, return: 37.64
Episode: 79, steps: 80000, return: 37.84
Episode: 80, steps: 81000, return: 36.86
Episode: 81, steps: 82000, return: 34.24
Episode: 82, steps: 83000, return: 32.01
Episode: 83, steps: 84000, return: 42.61
Episode: 84, steps: 85000, return: 38.04
Episode: 85, steps: 86000, return: 34.55
Episode: 86, steps: 87000, return: 32.57
